runtime_mode,runtime_temperature,runtime_top_p,gamma,max_new_tokens,speedup,acceptance_rate,avg_accepted_tokens,tokens_per_second,sd_time_s,vanilla_time_s,n_prompts,n_repeats
greedy,0.0,0.9,1,128,1.1844171881813688,0.7700290211942661,0.7700290211942661,625.6537083507654,10.229300832996765,12.115759729679363,50,3
sampling,0.5,0.9,1,128,1.1662033482060905,0.7765422292824994,0.7765422292824994,599.9094275676688,10.668277086340822,12.441380457680983,50,3
sampling,1.0,0.9,1,128,1.173985406039138,0.7602554010321001,0.7602554010321001,604.4907747354149,10.587423774665998,12.429480999009684,50,3
sampling,1.5,0.9,1,128,1.15290181357218,0.7389915385943706,0.7389915385943706,592.834212385782,10.795598273999834,12.446264828691104,50,3
sampling,2.0,0.9,1,128,0.8124617208542547,0.47823511992893103,0.47823511992893103,396.1977846416208,16.04249252869825,13.033911086657705,50,3
greedy,0.0,0.9,2,128,0.9978358922425541,0.667957461565137,1.335914923130274,527.1704693793012,12.140285489692664,12.114012603686811,50,3
sampling,0.5,0.9,2,128,1.0049673854877033,0.6735393193169938,1.3470786386339877,516.7590431703094,12.384882441023365,12.446402926327815,50,3
sampling,1.0,0.9,2,128,0.7942548024442038,0.6620936130966105,1.324187226193221,408.7139533326065,15.658873272652272,12.437135297669252,50,3
sampling,1.5,0.9,2,128,0.9810093929919234,0.6370249238750423,1.2740498477500846,503.78489241828754,12.70383470468611,12.462581172313852,50,3
sampling,2.0,0.9,2,128,0.595653655875972,0.35775382773073305,0.7155076554614661,290.82279002861526,21.89993431867333,13.044775940361433,50,3
greedy,0.0,0.9,4,128,0.6363143513308517,0.5317600862334463,2.127040344933785,335.96026103852387,19.049872089681838,12.121707001681594,50,3
sampling,0.5,0.9,4,128,0.6430832410751084,0.5299938395194825,2.11997535807793,330.14164317354715,19.385618665003374,12.466566481336486,50,3
sampling,1.0,0.9,4,128,0.6130842908160596,0.5015956657265845,2.006382662906338,315.1865806972484,20.305433010003373,12.448941996650925,50,3
sampling,1.5,0.9,4,128,0.6208622566749847,0.48631134410950927,1.945245376438037,318.7195905246821,20.080347083353747,12.467129604987955,50,3
sampling,2.0,0.9,4,128,0.3015661043902918,0.23932644507261916,0.9573057802904766,147.0494624082004,43.27115445234813,13.049113480665255,50,3
greedy,0.0,0.9,6,128,0.4476698883072564,0.4303574572988202,2.5821447437929215,236.35222106029266,27.07823083400338,12.1221085730164,50,3
sampling,0.5,0.9,6,128,0.46177492922079116,0.4165373786128828,2.499224271677297,237.21583560584716,26.97964907635469,12.45852554263547,50,3
sampling,1.0,0.9,6,128,0.4495675062409816,0.4080401155872854,2.4482406935237124,231.33176383960358,27.665893752651755,12.4376868623076,50,3
sampling,1.5,0.9,6,128,0.4477190205788219,0.3704999734902709,2.2229998409416254,229.99558627838098,27.82662095199339,12.458507478644606,50,3
sampling,2.0,0.9,6,128,0.21035357926342851,0.16334772088156432,0.9800863252893859,103.22289649602779,62.0017478413453,13.042289579015536,50,3
greedy,0.0,0.9,8,128,0.37352665061849394,0.3610156548300878,2.8881252386407024,197.37437272382616,32.42568886567218,12.11185895599192,50,3
sampling,0.5,0.9,8,128,0.3775056123548056,0.34194612424409015,2.7355689939527212,194.07959202399473,32.97616165232224,12.448686097670967,50,3
sampling,1.0,0.9,8,128,0.3639891764775198,0.31600710079667477,2.528056806373398,187.26109369920147,34.17688038434911,12.440014545669934,50,3
sampling,1.5,0.9,8,128,0.35038360140922786,0.300852797849101,2.406822382792808,179.97560106485923,35.56037575167526,12.459772523337355,50,3
sampling,2.0,0.9,8,128,0.15699684690529445,0.127739898989899,1.021919191919192,76.3344093413983,83.04249754064949,13.037410273022639,50,3
greedy,0.0,0.9,1,256,1.1936593451279154,0.7215962441314554,0.7215962441314554,634.1975885880727,20.182984341673244,24.091607872008655,50,3
sampling,0.5,0.9,1,256,1.1455835447170595,0.7210779924097054,0.7210779924097054,592.0415805075496,21.62010308300766,24.76763432698014,50,3
sampling,1.0,0.9,1,256,1.1560925347714506,0.7072014893797072,0.7072014893797072,597.8053921403215,21.411650293370865,24.753849061302997,50,3
sampling,1.5,0.9,1,256,1.1150510906145121,0.6741764168948635,0.6741764168948635,575.299064122367,22.249297449365258,24.809103386321414,50,3
sampling,2.0,0.9,1,256,0.7731782932761201,0.33206470028544244,0.33206470028544244,367.9824404838616,33.96901217233002,26.264102855677873,50,3
greedy,0.0,0.9,2,256,1.0113953651075527,0.6145781603487281,1.2291563206974563,537.199230022303,23.827286572001565,24.098807202011812,50,3
sampling,0.5,0.9,2,256,1.0127194863706157,0.614614366103939,1.229228732207878,523.4114160841629,24.454949981338967,24.766004384320695,50,3
sampling,1.0,0.9,2,256,1.0068717480699172,0.5977233210171702,1.1954466420343404,521.1042270631478,24.563224274994962,24.732016563997604,50,3
sampling,1.5,0.9,2,256,0.937185240153519,0.5542769166536193,1.1085538333072387,483.7356385578526,26.46073387968742,24.79860923567321,50,3
sampling,2.0,0.9,2,256,0.5657231046961364,0.23308730806320005,0.4661746161264001,269.61305357266184,46.43321172365298,26.268340697318006,50,3
greedy,0.0,0.9,4,256,0.6345528106196885,0.46649192405780676,1.865967696231227,337.2460763898735,37.95448159700027,24.084122972989764,50,3
sampling,0.5,0.9,4,256,0.6342258315027421,0.458765233225942,1.835060932903768,327.6207180826669,39.069568233991355,24.77892939965629,50,3
sampling,1.0,0.9,4,256,0.5889439991852603,0.4210822998872604,1.6843291995490417,304.5398394566998,42.03062569033742,24.753684782326065,50,3
sampling,1.5,0.9,4,256,0.5596202364139915,0.39151392148157543,1.5660556859263017,288.4972114017824,44.367846530668125,24.82914476467219,50,3
sampling,2.0,0.9,4,256,0.29466537868877896,0.1407014043735086,0.5628056174940343,141.79480977653535,89.10763391066575,26.256934690347407,50,3
greedy,0.0,0.9,6,256,0.45520404245753626,0.3645063184940486,2.1870379109642912,241.85296853865398,52.92471734931072,24.091545283328742,50,3
sampling,0.5,0.9,6,256,0.43740464519653394,0.35141871165644173,2.1085122699386503,226.0053331872212,56.60928359332805,24.761163604969624,50,3
sampling,1.0,0.9,6,256,0.4346949671408115,0.33027916789323913,1.9816750073594347,224.9195078562197,56.90924776601605,24.738163587656647,50,3
sampling,1.5,0.9,6,256,0.4041533123488518,0.2924400027194235,1.754640016316541,208.55542920577895,61.37457101330316,24.804736169016298,50,3
sampling,2.0,0.9,6,256,0.1957662921732907,0.09494171112428373,0.5696502667457024,93.93940039339337,134.18224884567704,26.268361331992008,50,3
greedy,0.0,0.9,8,256,0.31673747713510886,0.2942105915399868,2.3536847323198944,168.02579762113805,76.17877838533605,24.1286740770059,50,3
sampling,0.5,0.9,8,256,0.3683577335254515,0.28143796615606703,2.2515037292485363,190.2150163056066,67.29226876302467,24.787627605333302,50,3
sampling,1.0,0.9,8,256,0.3420226534619635,0.2580020406620815,2.064016325296652,176.87392517134936,72.36793092933173,24.751471762002137,50,3
sampling,1.5,0.9,8,256,0.30737486726968827,0.23174642328564382,1.8539713862851506,158.38846319348576,80.81396676198347,24.84018230700167,50,3
sampling,2.0,0.9,8,256,0.14969767651086827,0.07025515210991168,0.5620412168792934,71.8432285115758,175.5349844553275,26.277179319333907,50,3
greedy,0.0,0.9,1,512,1.1861996019875323,0.7037037037037037,0.7037037037037037,610.1997299247466,40.66865123499883,48.24113790832538,50,3
sampling,0.5,0.9,1,512,1.1402927631609832,0.6998665403822972,0.6998665403822972,574.7035519212455,43.570289267033026,49.682885540028416,50,3
sampling,1.0,0.9,1,512,1.138040281449829,0.6850517687661778,0.6850517687661778,564.5941510212648,43.594146265027426,49.61189448501682,50,3
sampling,1.5,0.9,1,512,1.059551815496894,0.633371547681084,0.633371547681084,523.5950681269118,47.07454577098057,49.87792043533409,50,3
sampling,2.0,0.9,1,512,0.7538864664993237,0.2064240790655885,0.2064240790655885,340.13047029259724,69.94080824201228,52.72742878967741,50,3
greedy,0.0,0.9,2,512,1.030843485032353,0.5910474435229399,1.1820948870458798,527.5780267941476,46.75327391833222,48.195307822645795,50,3
sampling,0.5,0.9,2,512,1.016200676184081,0.5930908486962299,1.1861816973924597,512.5855964593086,48.85232861198407,49.64376936866514,50,3
sampling,1.0,0.9,2,512,0.962476590390121,0.5704682429299953,1.1409364858599906,480.1379137012038,51.50395187368849,49.571347991004586,50,3
sampling,1.5,0.9,2,512,0.9338111396112226,0.5209015554645927,1.0418031109291854,471.6117741414102,53.42529890368072,49.889139253316294,50,3
sampling,2.0,0.9,2,512,0.54532923918387,0.13416441390092174,0.2683288278018435,255.71795399015627,96.59861427231226,52.67804882733617,50,3
greedy,0.0,0.9,4,512,0.6143556281574554,0.44164547573638485,1.7665819029455394,314.51638009206755,78.50783476768993,48.231730143985864,50,3
sampling,0.5,0.9,4,512,0.6275497017438818,0.4360776323514176,1.7443105294056704,317.52457911625777,79.16552498065478,49.68030159000773,50,3
sampling,1.0,0.9,4,512,0.5881801816004063,0.40190112197362377,1.607604487894495,297.8153138551957,84.32407210668316,49.59774804499466,50,3
sampling,1.5,0.9,4,512,0.5468572082874357,0.3568297079310766,1.4273188317243064,275.1011432655102,91.22462997465239,49.88684647499273,50,3
sampling,2.0,0.9,4,512,0.29156013371723155,0.08905939904599422,0.3562375961839769,137.3925474302439,180.72304840702176,52.69163615933697,50,3
greedy,0.0,0.9,6,512,0.44688962620338146,0.3358295444414728,2.014977266648837,229.9467933803298,107.91626895599377,48.226661095007636,50,3
sampling,0.5,0.9,6,512,0.4433875482947867,0.3321804321804322,1.993082593082593,222.5778300736272,111.94735788266796,49.63606454967521,50,3
sampling,1.0,0.9,6,512,0.4322062452745843,0.3112132441990021,1.8672794651940126,217.62714232376925,114.75590651668608,49.59821947865809,50,3
sampling,1.5,0.9,6,512,0.3718183158931118,0.26227682174797406,1.5736609304878442,187.78296415232788,134.09629629434008,49.85945905566526,50,3
sampling,2.0,0.9,6,512,0.19413614675518998,0.05955974047098372,0.3573584428259023,87.45178570216966,271.7040002009987,52.74756765699325,50,3
greedy,0.0,0.9,8,512,0.3538317300094087,0.2719600081201786,2.175680064961429,180.95538700518927,136.29326215799665,48.22488073798983,50,3
sampling,0.5,0.9,8,512,0.3517178286451958,0.26412258422953294,2.1129806738362635,174.98387179926152,141.3558846633338,49.7173848200085,50,3
sampling,1.0,0.9,8,512,0.330849861353826,0.23798782276995306,1.9039025821596245,167.18444426387077,150.00797538566016,49.6301178583138,50,3
sampling,1.5,0.9,8,512,0.2839634155385374,0.2048326359832636,1.6386610878661088,141.48844159920728,175.632721083976,49.87326735933311,50,3
sampling,2.0,0.9,8,512,0.14615803169538533,0.04020947947524334,0.3216758358019467,68.64508135450737,360.57936725534574,52.70157058800881,50,3
